Source (A),Source (B),Source (C),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
1,12,COVID cases ramped long hours,5,93.26,50.00,99.00,25.77,5.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,12,"Starting out, especially with Covid, is difficult",7,93.26,50.00,89.63,1.00,7.00,42.86,85.71,57.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,14.29,14.29,0.00,0.00,28.57,14.29,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,28.57,0.00,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,11,becoming more bureaucratic in management,5,93.26,50.00,99.00,25.77,5.00,60.00,100.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,20.00,20.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,11,"Expected to work over holidays, equipment is restrictive if you want to travel and work, some schedules are long and there is no option to change it without medical reason, once you’re clocked in you’re glued to computer with no time to get up to get water or use restroom without getting in trouble which can be stressful and unhealthy, have been “seasonal” for 7+ months with no sense of job stability",72,72.69,33.83,58.07,2.09,72.00,23.61,91.67,51.39,6.94,4.17,0.00,0.00,4.17,0.00,0.00,2.78,0.00,22.22,12.50,1.39,6.94,6.94,19.44,0.00,0.00,1.39,2.78,1.39,2.78,0.00,2.78,1.39,0.00,0.00,4.17,0.00,0.00,0.00,0.00,16.67,2.78,4.17,4.17,5.56,0.00,5.56,1.39,0.00,0.00,0.00,4.17,0.00,2.78,0.00,1.39,11.11,0.00,2.78,2.78,4.17,1.39,1.39,20.83,1.39,18.06,2.78,6.94,8.33,6.94,2.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,5.56,0.00,0.00,0.00,0.00,0.00,2.78,2.78,0.00,1.39
5,11,Not friendly for single parents that need a flexible schedule.,10,93.26,50.00,3.37,99.00,10.00,40.00,100.00,40.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,10.00,0.00,0.00,0.00,10.00,10.00,10.00,0.00,0.00,10.00,10.00,20.00,10.00,0.00,0.00,0.00,0.00,20.00,10.00,10.00,0.00,0.00,20.00,0.00,0.00,10.00,0.00,0.00,10.00,10.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,11,Do not over commit and expect overnight results or Monetary success. Its a hard job but takes commitment  and COVID is the downfall and hurdle EVERYDAY,26,33.48,6.21,17.46,89.84,13.00,26.92,80.77,50.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,7.69,7.69,3.85,7.69,0.00,19.23,3.85,11.54,3.85,0.00,0.00,0.00,0.00,3.85,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.77,0.00,3.85,3.85,3.85,11.54,11.54,3.85,0.00,0.00,3.85,0.00,0.00,0.00,0.00,0.00,11.54,0.00,3.85,3.85,7.69,0.00,0.00,15.38,3.85,7.69,0.00,3.85,3.85,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,11,"lack of training, maybe due to covid regulations",8,99.00,50.00,1.00,25.77,8.00,25.00,75.00,37.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,12.50,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,12.50,0.00,12.50,0.00,12.50,0.00,12.50,0.00,0.00,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,11,"hard labor, lackluster covid safeguards, i've received notification of about 10 employee positive diagnoses while at amazon just in the last few months.",23,93.26,50.00,98.89,93.61,23.00,30.43,73.91,34.78,4.35,4.35,4.35,0.00,0.00,0.00,0.00,0.00,4.35,17.39,4.35,8.70,4.35,0.00,4.35,13.04,0.00,0.00,4.35,4.35,4.35,4.35,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,8.70,4.35,0.00,0.00,0.00,4.35,0.00,4.35,0.00,0.00,4.35,4.35,0.00,4.35,0.00,0.00,8.70,0.00,0.00,4.35,4.35,0.00,0.00,4.35,0.00,26.09,4.35,8.70,17.39,8.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.39,4.35,8.70,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00
9,12,"I'm a picker and they expect us to work like machines, the pick and transition times are hard to achieve, yet you are reminded of them by someone every week. No listening to music so it gets boring and repetitive. Not very lenient with break times, if you continously take too long you will get written up. It's fall time but it seems to constantly be 70 degrees Fahrenheit and they could put a few more fans in to make sure every station gets cooled.",85,45.99,79.49,28.81,25.77,21.25,16.47,85.88,51.76,14.12,9.41,1.18,1.18,3.53,0.00,3.53,4.71,3.53,12.94,8.24,5.88,8.24,2.35,20.00,4.71,2.35,0.00,1.18,4.71,2.35,1.18,1.18,0.00,0.00,0.00,10.59,0.00,0.00,0.00,0.00,14.12,1.18,2.35,3.53,3.53,3.53,3.53,3.53,0.00,2.35,1.18,0.00,0.00,0.00,0.00,0.00,9.41,1.18,2.35,1.18,5.88,0.00,1.18,15.29,2.35,15.29,2.35,3.53,8.24,3.53,1.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.59,4.71,3.53,0.00,0.00,0.00,0.00,0.00,0.00,2.35,0.00,0.00
10,12,"The work can sometimes take a toll on you, as you are standing for at least 9 hours on your feet. The place is also a COVID hotspot, and people are coming down with it just about every week. You can sometimes be lost and not know what you’re doing. I was confused on how the rates for the job worked and asked a good amount of people and still was confused. One of my employees gave me a better understanding of it now but, at first it was difficult to understand.",92,62.99,80.77,74.76,4.13,18.40,10.87,93.48,60.87,13.04,8.70,3.26,0.00,5.43,0.00,0.00,4.35,8.70,16.30,11.96,6.52,8.70,1.09,18.48,4.35,3.26,2.17,3.26,3.26,6.52,2.17,4.35,2.17,0.00,1.09,9.78,0.00,0.00,0.00,0.00,11.96,3.26,1.09,0.00,4.35,1.09,2.17,0.00,0.00,0.00,0.00,1.09,1.09,0.00,0.00,0.00,10.87,0.00,5.43,2.17,3.26,1.09,7.61,13.04,1.09,16.30,1.09,7.61,7.61,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.78,5.43,3.26,0.00,0.00,0.00,0.00,0.00,0.00,1.09,0.00,0.00
