Source (A),Source (B),Source (C),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
1,12,Set work schedule set hours good pay,7,93.26,50.00,89.63,99.00,7.00,14.29,71.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,14.29,0.00,14.29,0.00,0.00,14.29,0.00,28.57,0.00,0.00,28.57,42.86,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,12,Great work environment with lots of growth,7,99.00,50.00,89.63,99.00,7.00,14.29,100.00,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,14.29,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,14.29,0.00,14.29,0.00,0.00,14.29,0.00,28.57,14.29,14.29,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,11,"Company is still growing, and may continue grow in this pandemic environment.",12,18.82,79.76,99.00,25.77,12.00,41.67,91.67,50.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,8.33,16.67,8.33,8.33,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,8.33,50.00,16.67,16.67,16.67,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,8.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,11,"Weekly Pay
Extra hours
Simple hiring process",7,93.26,50.00,89.63,25.77,7.00,14.29,85.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,28.57,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,0.00,28.57,28.57,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,11,"Pays well for what it is, pandemic-proof job, good benefits even for seasonal employees, flexible time off bank, overtime pays well, always trying to create sense of community for employees despite working from home, responsive and caring HR, great position for anyone who wants to work from home or is currently in school like myself, COVID leave is paid",60,93.26,50.00,32.84,99.00,60.00,21.67,95.00,43.33,8.33,1.67,1.67,0.00,0.00,0.00,0.00,6.67,0.00,21.67,5.00,5.00,3.33,0.00,15.00,3.33,1.67,3.33,0.00,0.00,13.33,13.33,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,15.00,1.67,1.67,1.67,5.00,3.33,3.33,3.33,0.00,0.00,1.67,0.00,0.00,0.00,0.00,0.00,16.67,1.67,6.67,3.33,5.00,0.00,1.67,11.67,1.67,13.33,1.67,5.00,6.67,20.00,0.00,3.33,8.33,0.00,0.00,3.33,0.00,0.00,0.00,3.33,0.00,15.00,0.00,13.33,0.00,0.00,0.00,0.00,1.67,0.00,0.00,0.00,0.00
6,11,You will always have work,5,1.00,99.00,43.37,25.77,5.00,0.00,100.00,60.00,20.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,40.00,20.00,20.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,11,"1) Operation Managers care (depending where you work).
2) get tons of UPT, PTO, VTO and Vacation if it’s available.
3) Benefits aren’t bad
4) You choose your shifts, tons of VET available depending on the time of the year. Definitely all year of 2020 and probably into 2021.
5) keep to yourself if you’d like. Main job is scanning for the most part if your working inside of a warehouse. They will offer to train you in different areas of the building if you’d like! 
6) Amazon is consistently cleaning their buildings cause of COVID-19. 
7) Work and have fun while doing it!",105,75.19,87.34,10.08,78.19,11.67,18.10,77.14,47.62,11.43,9.52,0.00,0.00,7.62,0.00,1.90,1.90,4.76,15.24,8.57,2.86,7.62,0.95,13.33,2.86,3.81,0.95,9.52,4.76,4.76,3.81,0.95,0.00,0.00,0.00,10.48,0.00,0.00,0.00,0.00,13.33,0.95,2.86,3.81,7.62,1.90,5.71,0.95,0.95,0.00,0.00,0.95,0.00,0.95,0.00,0.00,6.67,0.00,2.86,0.95,1.90,0.95,0.00,9.52,0.95,10.48,0.00,6.67,3.81,7.62,1.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.76,6.67,2.86,0.00,0.00,0.00,1.90,0.95,0.00,3.81,8.57,0.00
8,11,"benefits, wont close during lockdown",5,52.71,2.31,99.00,99.00,5.00,40.00,80.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,20.00,40.00,0.00,20.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,12,Great job if you don’t have a social life and need to earn quick (legal) cash.,16,38.60,73.40,1.00,99.00,16.00,0.00,100.00,43.75,6.25,6.25,0.00,0.00,6.25,0.00,0.00,0.00,6.25,6.25,12.50,0.00,12.50,6.25,18.75,6.25,0.00,0.00,0.00,0.00,6.25,6.25,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,12.50,0.00,0.00,12.50,6.25,0.00,6.25,0.00,0.00,0.00,0.00,6.25,0.00,6.25,0.00,0.00,25.00,6.25,6.25,6.25,12.50,0.00,0.00,18.75,0.00,6.25,0.00,0.00,6.25,18.75,0.00,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,12.50,0.00
10,12,its all in the strength and abilities of the individual its a physical hard job.,15,99.00,74.76,1.00,99.00,15.00,26.67,100.00,53.33,13.33,0.00,0.00,0.00,0.00,0.00,0.00,13.33,20.00,13.33,0.00,0.00,6.67,0.00,0.00,13.33,0.00,0.00,0.00,6.67,6.67,6.67,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,6.67,0.00,6.67,0.00,0.00,6.67,6.67,0.00,6.67,0.00,0.00,13.33,0.00,6.67,6.67,0.00,0.00,0.00,0.00,0.00,6.67,0.00,6.67,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
