"amazon_covid_titles"t	"amazon_covid_starrating"t	"amazon_covid_jobtitles"t	"amazon_covid_location"t	"amazon_covid_reviewdate"t	"amazon_covid_CONS"t	"amazon_covid_PROS"t	"STATE"t	"MONTH"
"1"t	"\"This was my first warehouse job and I’ve gained a lot of experience from it\""t	"5.0"t	"Former Employee - Warehouse Associate"t	"Las Vegas, NV"t	"December 4, 2020"t	"COVID cases ramped long hours"t	"Set work schedule set hours good pay"t	"NV"t	"Dec"
"2"t	"\"Amazon\""t	"4.0"t	"Current Employee - Area Manager"t	"Elizabethtown, KY"t	"December 4, 2020"t	"Starting out, especially with Covid, is difficult"t	"Great work environment with lots of growth"t	"KY"t	"Dec"
"3"t	"\"3.8\""t	"4.0"t	"Former Employee - Engineer"t	"Seattle, WA"t	"November 30, 2020"t	"becoming more bureaucratic in management"t	"Company is still growing, and may continue grow in this pandemic environment."t	"WA"t	"Nov"
"4"t	"\"Amazonian\""t	"4.0"t	"Current Employee - Warehouse Associate"t	"Detroit, MI"t	"November 29, 2020"t	"Expected to work over holidays, equipment is restrictive if you want to travel and work, some schedules are long and there is no option to change it without medical reason, once you’re clocked in you’re glued to computer with no time to get up to get water or use restroom without getting in trouble which can be stressful and unhealthy, have been “seasonal” for 7+ months with no sense of job stability"t	"Weekly Pay
Extra hours
Simple hiring process"t	"MI"t	"Nov"
"5"t	"\"Great Hourly Remote Position\""t	"4.0"t	"Current Employee - Virtual Customer Service Representative"t	"Henderson, NV"t	"November 30, 2020"t	"Not friendly for single parents that need a flexible schedule."t	"Pays well for what it is, pandemic-proof job, good benefits even for seasonal employees, flexible time off bank, overtime pays well, always trying to create sense of community for employees despite working from home, responsive and caring HR, great position for anyone who wants to work from home or is currently in school like myself, COVID leave is paid"t	"NV"t	"Nov"
"6"t	"\"Provider of Work\""t	"4.0"t	"Current Employee - Warehouse Worker"t	"Salt Lake City, UT"t	"November 30, 2020"t	"Do not over commit and expect overnight results or Monetary success. Its a hard job but takes commitment  and COVID is the downfall and hurdle EVERYDAY"t	"You will always have work"t	"UT"t	"Nov"
"7"t	"\"Amazon Warehouse Worker\""t	"5.0"t	"Current Employee - Amazon Warehouse Worker"t	"Kenosha, WI"t	"November 28, 2020"t	"lack of training, maybe due to covid regulations"t	"1) Operation Managers care (depending where you work).
2) get tons of UPT, PTO, VTO and Vacation if it’s available.
3) Benefits aren’t bad
4) You choose your shifts, tons of VET available depending on the time of the year. Definitely all year of 2020 and probably into 2021.
5) keep to yourself if you’d like. Main job is scanning for the most part if your working inside of a warehouse. They will offer to train you in different areas of the building if you’d like! 
6) Amazon is consistently cleaning their buildings cause of COVID-19. 
7) Work and have fun while doing it!"t	"WI"t	"Nov"
"8"t	"\"Good company\""t	"4.0"t	"Former Employee - Team Member"t	"Portland, OR"t	"November 28, 2020"t	"hard labor, lackluster covid safeguards, i've received notification of about 10 employee positive diagnoses while at amazon just in the last few months."t	"benefits, wont close during lockdown"t	"OR"t	"Nov"
"9"t	"\"Mandatory work\""t	"3.0"t	"Former Employee - Picker"t	"Kent, WA"t	"December 12, 2020"t	"I'm a picker and they expect us to work like machines, the pick and transition times are hard to achieve, yet you are reminded of them by someone every week. No listening to music so it gets boring and repetitive. Not very lenient with break times, if you continously take too long you will get written up. It's fall time but it seems to constantly be 70 degrees Fahrenheit and they could put a few more fans in to make sure every station gets cooled."t	"Great job if you don’t have a social life and need to earn quick (legal) cash."t	"WA"t	"Dec"
"10"t	"\"ADULTING\""t	"2.0"t	"Current Employee - Anonymous Employee"t	"Charlotte, NC"t	"December 10, 2020"t	"The work can sometimes take a toll on you, as you are standing for at least 9 hours on your feet. The place is also a COVID hotspot, and people are coming down with it just about every week. You can sometimes be lost and not know what you’re doing. I was confused on how the rates for the job worked and asked a good amount of people and still was confused. One of my employees gave me a better understanding of it now but, at first it was difficult to understand."t	"its all in the strength and abilities of the individual its a physical hard job."t	"NC"t	"Dec"
